,id,prompt,A,B,C,D,E,answer,context
10,10,"What was Wilhelm Schepmann's position in the Nazi paramilitary branch, the SA?","Wilhelm Schepmann was an officer in the Nazi paramilitary branch, the SA, responsible for recruitment and training.","Wilhelm Schepmann was a member of the SS, a separate paramilitary organization from the SA.","Wilhelm Schepmann was an SA general in Nazi Germany and the last Stabschef of the original Nazi paramilitary branch, the SA.",Wilhelm Schepmann was a civilian bureaucrat who had no direct involvement with the Nazi paramilitary branches.,"Wilhelm Schepmann was a prominent leader in the NSDAP, but he was not affiliated with the SA.",C,1945 when Nazi Germany was defeated and surrendered. The SA was banned by the Allied Control Council shortly after Germanys capitulation. In 1946 the International Military Tribunal at Nuremberg formally judged the SA not to be a criminal organization.  Early life  Wilhelm Schepmann was born June 1894 in the German city of Hattingen. After attending the Gymnasium secondary school Wilhelm Schepmann completed the teachers seminar and then worked as a teacher in Hattingen. He served in the First World War from 1914 to 1918 as a soldier of the Westphalian Jgerbattalion No.7 and was deployed on both the western and eastern fronts. During the war he was first company commander in the rank of lieutenant of the reserve then battalion adjutant and finally court officer. During the war he was wounded receiving the Wound Badge 1918 in Black and Iron Cross 2nd class.  Political career  Schepmann joined the Nazi Party NSDAP No. 26.762 in 1925. Together with Viktor Lutze he organized the formation of the SA in the Ruhr area and as early as 1928 he was a local Party leader. At the same time he worked as an NSDAP city councillor and as an SA leader in Hattingen where he
11,11,How did the 2017-18 Charlotte 49ers men's basketball team perform during the NCAA Division I men's basketball season?,The team qualified for the C-USA tournament.,The team did not play any games during the season.,"The team had a losing season, finishing with more losses than wins.","The team had a winning season, finishing with more wins than losses.","The team had an even season, finishing with an equal number of wins and losses.",C,The 201314 Charlotte 49ers mens basketball team represented the University of North Carolina at Charlotte during the 201314 NCAA Division I mens basketball season. The 49ers led by fourth head coach Alan Major played their home games at the Dale F. Halton Arena and were new members Conference USA. They finished the season 1714 79 in CUSA play to finish in a tie for eighth place. They advanced to the quarterfinals of the CUSA tournament where they lost to Louisiana Tech. Roster Schedule  colspan12 stylebackground00703C colorFFFFFF Exhibition  colspan12 stylebackground00703C colorFFFFFF Nonconference  colspan12 stylebackground00703C colorFFFFFF CUSA regular season  colspan12 stylebackground00703C colorFFFFFF Conference USA tournament References Charlotte CategoryCharlotte 49ers mens basketball seasons Charlotte 49ers mens basketball Charlotte 49ers mens basketball
12,12,"According to the provided Wikipedia excerpt, what is the reason behind the popularity of MYmovies.it among Italian internet users?",MYmovies.it features a comprehensive database on Italian films and television series from 1895 to present.,MYmovies.it provides international news related to film.,MYmovies.it is particularly popular among Italian women aged 25 to 45 according to demographic surveys.,"MYmovies.it is known for its streaming platform, Mymovieslive!, which was launched in 2010.",MYmovies.it is the 56th most popular website among internet users worldwide.,E,MYmovies.it is a website dedicated to Italian cinema. Established in 2000 the website contains a database on Italian films and television series and actors with films from 1895 to present. The website also features reviews of up and coming films interviews with actors and directors and other notable figures in the Italian film industry and international news related to film. In 2010 it also launched a streaming platform Mymovieslive. The website is particularly popular among Italian men aged 25 to 45 according to demographic surveys and is the 56th most popular website with Internet users from Italy. As of 2013 the website included over one million pages over 200000 reviews and it collected over 3 million monthly unique visitors.  References   External links   Official site CategoryItalian film websites CategoryInternet properties established in 2000
13,13,What is the certification status of The Smashing Pumpkins' music video Vieuphoria?,Vieuphoria was certified diamond by the RIAA in late 1996.,Vieuphoria was certified gold by the RIAA in late 1996.,Vieuphoria was certified silver by the RIAA in late 1996.,Vieuphoria was not certified by the RIAA.,Vieuphoria was certified platinum by the RIAA in late 1996.,B,Vieuphoria is a long form music video by American alternative rock band The Smashing Pumpkins originally released on VHS on October 4 1994 and DVD on November 26 2002. It was certified gold by the RIAA in late 1996. The video consists of various Smashing Pumpkins performances mostly from the Siamese Dream tour interspersed with comedy bits including Meet the Frogs interviews featurettes and other short videos. The soundtrack for the film Earphoria was released as a promo CD in 1994 and officially in 2002. Track listing The DVD also includes the complete interview with Manny Chevrolet and The Lost 94 Tapes which were found by Billy Corgan shortly before the DVD release. The performances are Quiet Snail Siva I Am One Geek U.S.A. Soma Hummer Porcelina Silverfuck Porcelina should not be confused with the similarly titled Porcelina of the Vast Oceans from the album Mellon Collie and the Infinite Sadness. Personnel The Smashing Pumpkins Jimmy Chamberlin  drums Billy Corgan  vocals guitar James Iha  guitar vocals Darcy Wretzky  bass guitar vocals percussion on Mayonaise Additional musicians Eric Remschneider 
14,14,What is the administrative center of Moshenskoy District?,Pestovsky District,Udomelsky District of Tver Oblast,Moshenskoye,Khvoyninsky District,Lesnoy District of Tver Oblast,C,Moshenskoy masculine Moshenskaya feminine or Moshenskoye neuter may refer to Moshenskoy District a district of Novgorod Oblast Russia Moshenskoy rural locality Moshenskaya Moshenskoye name of several rural localities in Russia
15,15,What was the cause of the collapse of the Landesbank der Rheinprovinz?,The collapse of the Landesbank was due to a global economic downturn affecting the banking industry.,The collapse of the Landesbank was caused by mismanagement and irresponsible lending practices leading to financial insolvency.,"The collapse of the Landesbank was a result of the European banking crisis of 1931, triggered by the collapse of Austria's Creditanstalt and followed by Danatbank.",The collapse of the Landesbank was a result of fraudulent activities committed by high-ranking bank officials.,The collapse of the Landesbank was caused by a significant decrease in government support.,C,established in Cologne on with capital of 400000 thalers on a statutory basis of . Its mandate was not about making profits but supporting institutions municipal buildings or commercial companies with loans paying off municipal debts and promoting the savings bank system through centralized management of savings. The Provincial Parliament of the Rhine Province took charge of oversight of the Rheinische Provinzial Hlfskasse in September 1871. As a consequence on the funds head office was relocated from Cologne to the parliaments seat in Dsseldorf against the will of the funds directors who preferred Cologne as a more vibrant financial center at the time. Landesbank der Rheinprovinz In February 1888 the Rheinische ProvinzialHlfskasse was renamed the Landesbank der Rheinprovinz. On  the Landesbank opened a branch in Cologne. In the 1920s the Landesbank led by Hubert Bel and August Bernegau expanded dramatically by aggressively lending to municipalities with few internal controls and insufficient capital. As a consequence it collapse in mid1931 when the financial environment became unfavorable. German interior ministry official identified the Landesbanks
16,16,What can be concluded about Lincoln County based on the given Wikipedia excerpt?,"It is a county in the state of New South Wales, Australia.",It is located in a different country than New South Wales.,It is a region known for its historical landmarks.,It is one of the 141 Cadastral divisions of Australia.,"It is a division within Dubbo, New South Wales.",A,Lincoln County may refer to Australia Lincoln County New South Wales the former name of Lincoln Land District Tasmania Canada Lincoln County Ontario one of the historic counties of Ontario United Kingdom The archaic term County of Lincoln refers to Lincolnshire in modern usage United States Lincoln County Arkansas Lincoln County Colorado Lincoln County Georgia Lincoln County Idaho Lincoln County Kansas Lincoln County Kentucky Lincoln County Maine Lincoln County Minnesota Lincoln County Mississippi Lincoln County Missouri Lincoln County Montana Lincoln County Nebraska Lincoln County Sheriffs Office Nebraska Lincoln County Nevada Lincoln County New Mexico Lincoln County North Carolina Lincoln County Oklahoma Lincoln County Oregon Lincoln County South Dakota Lincoln County Tennessee Lincoln County Washington Lincoln County West Virginia Lincoln County Wisconsin Lincoln County Wyoming  Other uses  Lincoln County song a song by Dave Davies which reached 15 in the UK charts in 1968 Lincoln County War New Mexico See also Lincoln Parish Louisiana United States CategoryUnited States county name
17,17,In which team does Dennis Sveum currently play for as an ice hockey player?,Norwegian national team,Trondheim Black Panthers,Stavanger Oilers,No team at the moment,Bergen Tigers,C,Dennis Sveum born November 27 1986 is a Norwegian ice hockey player for Stavanger Oilers and the Norwegian national team. He participated at the 2017 IIHF World Championship. References External links  Category1986 births CategoryLiving people CategoryNorwegian ice hockey defencemen CategorySportspeople from Lillehammer CategoryStavanger Oilers players CategoryLillehammer IK players
18,18,"Who directed the 1920 American silent comedy film ""The Mysterious Stranger"" featuring Oliver Hardy?",Jess Robbins,Fatty Arbuckle,Buster Keaton,Harold Lloyd,Charlie Chaplin,A,The Mysterious Stranger is a 1920 American silent comedy film directed by Jess Robbins featuring Oliver Hardy. Cast  Jimmy Aubrey as The mysterious stranger  Oliver Hardy as Toreador credited as Babe Hardy  Maude Emory as Seorita  Vincent McDermott as Cabbie See also  List of American films of 1920  Oliver Hardy filmography External links   Category1920 films Category1920 comedy films Category1920 short films CategoryAmerican silent short films CategorySilent American comedy films CategoryAmerican blackand white films CategoryFilms directed by Jess Robbins CategoryAmerican comedy short films Category1920s American films
19,19,"Who is responsible for the executive functions of the Government of the City of San Jose, California in the United States?",The Governor of California,The Mayor of San Jose,The President of the United States,The Mayor of San Francisco,The City Council of San Jose,B,The government of San Jose officially the City of San Jos operates as a charter city within California law under the San Jos City Charter.City of San Jos  San Jos City Charter The elected government of the city which operates as a councilmanager government is composed of the Mayor of San Jose currently Matt Mahan the San Jose City Council and several other elected offices. The greater public administration of San Jose includes numerous entities including the San Jose Police Department the San Jose Fire Department and the San Jose Public Library as well as a mix of state and county level institutions. Organization thumbleftCity of San Jose organizational chart. San Jose utilizes a councilmanager government composed of the mayor city council several elected officers and numerous other entities. Mayor  Current mayor  The current Mayor of San Jose is Matt Mahan beginning his first term as a Councilmember in 2020 and as Mayor in 2022.  Former mayors  City Council The legislative body is composed of the 11member San Jose City Council which is made up of 10 councilmembers each representing and elected by a district and the
20,20,What is the purpose of University College Hospital (UCH) in relation to University College London (UCL)?,It is owned and operated by UCL.,It is the main campus of UCL.,It is closely associated with UCL and is located next to its main campus.,"It is a separate, independent hospital that has no association with UCL.",It serves as a research facility for UCL's medical students.,C,University College London Hospitals NHS Foundation Trust UCLH is an NHS foundation trust based in London United Kingdom. It comprises University College Hospital University College Hospital at Westmoreland Street the UCH Macmillan Cancer Centre the Royal National ENT and Eastman Dental Hospitals the Hospital for Tropical Diseases the National Hospital for Neurology and Neurosurgery the Royal London Hospital for Integrated Medicine and the Royal National Throat Nose and Ear Hospital. The Trust has an annual turnover of around 940 million and employs approximately 8180 staff. Each year its hospitals treat over 500000 outpatients appointments and admit over 100000 patients. In partnership with University College London UCLH has major research activities as part of the UCLHUCL Biomedical Research Centre and the UCL Partners academic health science centre. Its hospitals are also major teaching centres and offer training for nurses doctors and other health care professionals in partnership with City University of London Kings College London London South Bank University and UCL Medical School. History Origins The hospitals which now form part of UCLH or
21,21,When was the EP Breaking the Silence by The Letter Black released?,October 2009,September 2010,"September 22, 2009",August 2009,September 2008,C,Breaking the Silence is the first EP by the Christian hard rock band The Letter Black. It was released on September 22 2009 on Tooth  Nail Records. Track listing Credits Sarah Anthony  vocals Mark Anthony  guitar vocals Matt Beal  bass Additional musicians Brian Vodinh  drums Kirke Jan  percussion References Category2009 EPs CategoryThe Letter Black albums
22,22,When was the Thomas J. Majors Farmstead listed on the National Register of Historic Places?,"June 15, 1978",1898,1878,1891,1895,A,The Thomas J. Majors Farmstead is a historic estate with a twostory house in Peru Nebraska. The house was built in 1898 for Thomas Jefferson Majors after he had served as a member of the United States House of Representatives from 1878 to 1879 and as Nebraskas lieutenant governor from 1891 to 1895. With The house has been listed on the National Register of Historic Places since June 15 1978. References CategoryNational Register of Historic Places in Nemaha County Nebraska CategoryHouses completed in 1898 Category1898 establishments in Nebraska
23,23,What is the significance of Shin-Takatoku Station?,"Shin-Takatoku Station is a renowned tourist attraction, frequently visited for its picturesque surroundings.","Shin-Takatoku Station is a cultural hub in Tochigi, hosting events and festivals throughout the year.","Shin-Takatoku Station is the largest railway station in Tochigi prefecture, offering various transportation routes.","Shin-Takatoku Station is a railway station in Nikkō, operated by Tōbu Railway and assigned the number ""TN-53"".","Shin-Takatoku Station is a historical landmark in Nikkō, known for its architectural brilliance.",D,is a railway station in the city of Nikk Tochigi Japan operated by the private railway operator Tbu Railway. The station is numbered TN53. Lines ShinTakatoku Station is served by the Tbu Kinugawa Line with direct services to and from Asakusa in Tokyo and lies 7.3 km from the starting point of the line at . The station was formerly also the terminus of the 23.5 km Tobu Yaita Line which operated from on the Tohoku Main Line between 1 March 1924 and 30 June 1959. Station layout The station consists of a single island platform serving two tracks connected to the station building by a footbridge. Platforms Adjacent stations History The station opened on 1 November 1917 as . It was renamed ShinTakatoku on 22 October 1929. From 17 March 2012 station numbering was introduced on Tbu lines with ShinTakatoku Station becoming TN53. The platform and passenger shelter on the platform received protection by the national government as a Registered Tangible Cultural Property in 2017. Passenger statistics In fiscal 2019 the station was used by an average of 335 passengers daily boarding passengers only. Surrounding area  Kinugawa River  
24,24,What was Marcello Truzzi's role in the founding of the Society for Scientific Exploration?,Marcello Truzzi was the director for the Center for Scientific Anomalies Research.,Marcello Truzzi served as the president of the Society for Scientific Exploration.,Marcello Truzzi was a professor of sociology at New College of Florida and later at Eastern Michigan University.,Marcello Truzzi had no involvement in the founding of the Society for Scientific Exploration.,Marcello Truzzi was a founding member of the Society for Scientific Exploration.,E,Marcello Truzzi September 6 1935  February 2 2003 was a professor of sociology at New College of Florida and later at Eastern Michigan University founding cochairman of the Committee for the Scientific Investigation of Claims of the Paranormal CSICOP a founder of the Society for Scientific Exploration and director for the Center for Scientific Anomalies Research. Truzzi was an investigator of various protosciences and pseudosciences and as fellow CSICOP cofounder Paul Kurtz dubbed him the skeptics skeptic. He is credited with originating the oftused phrase Extraordinary claims require extraordinary proof though earlier versions existed. Early life and education Truzzi was born in Copenhagen Denmark and was the only child of juggler Massimiliano Truzzi and his wife Sonya. His family moved to the United States in 1940 where his father performed with the Ringling Bros. and Barnum  Bailey Circus. Truzzi earned several degrees in sociology his Bachelor of Arts from Florida State University in 1957 his Master of Arts from the University of Florida in 1962 and his doctorate from Cornell University in 1970. He served in the United States Army between 1958 and
25,25,When did the second season of Storage Wars: New York premiere?,"July 23, 2013","July 31, 2013","July 9, 2013","July 15, 2013","July 1, 2013",C,Storage Wars is an American reality TV franchise on AE. The original series Storage Wars debuted on December 1 2010. Its success led to AE commissioning a spinoff series Storage Wars Texas which ran for three seasons ending in 2014. Other spinoffs followed including Storage Wars New York which ran for two seasons ending in 2013. Thom Beers is the executive producer and narrator for all the shows excluding Storage Wars Canada. Original series The original Storage Wars premiered on December 1 2010. The main setting is in the southern cities of California. It initially aired for 12 seasons ending its run on January 30 2019. A 13th season was later announced and is scheduled to premiere on April 20 2021. Spinoffs Various spinoff series were created most of them airing on AE. Storage Wars Texas 201114 Storage Wars Texas was the first spinoff show from the original series. It premiered on December 6 2011 and ran for three seasons ending on January 7 2014. Mary Padian one of the buyers on the show would later become a buyer in the original Storage Wars series. Storage Wars New York 2013 Storage Wars New York was the second
26,26,What is the focus of the National Lottery Act 2003?,The National Lottery Act 2003 primarily focuses on the exportation and importation of goods and services in the United Kingdom.,The National Lottery Act 2003 is centered around regulating casinos and gambling establishments in the United Kingdom.,The National Lottery Act 2003 primarily addresses the taxation system for individuals and businesses in the United Kingdom.,The National Lottery Act 2003 is mainly concerned with the protection of consumers' rights in the United Kingdom.,The National Lottery Act 2003 primarily deals with the organization and regulation of the National Lottery in the United Kingdom.,E,The National Lottery Funding of Endowments Act 2003 c 23 is an Act of the Parliament of the United Kingdom. Section 1  Funding of endowments This section amended sections 22 25 25B 38 41 43B and 44 of the National Lottery etc. Act 1993. Sections 15 to 7 were repealed on 1 December 2006The National Lottery Act 2006 Commencement No. 3 Order 2006 SI 20063201 C 113 article 2 by section 21 of and Schedule 3 to the National Lottery Act 2006. References Halsburys Statutes External links The National Lottery Funding of Endowments Act 2003 as amended from the National Archives. The National Lottery Funding of Endowments Act 2003 as originally enacted from the National Archives. Explanatory notes to the National Lottery Funding of Endowments Act 2003. CategoryUnited Kingdom Acts of Parliament 2003
27,27,Who is the general manager for the University of Alberta's men's hockey team?,Catherine Williams,Robert Thompson,Stanislaus Henry Marple,Michael Johnson,John Smith,C,This is a list of current general managers in the American Hockey League. In the American Hockey League the general manager of a team typically controls player transactions and bears the primary responsibility on behalf of the hockey club during contract discussions with players. Unlike in the NHL The general manager is not normally the person who hires fires and supervises the head and assistant coaches amateur and professional scouts and all other hockey operations staff for their team as these duties are usually assigned to the general manager of the each AHL affiliates parent club and performed in tandem with their identical duties at that level.  Current AHL general managers  Team General manager Tenured since Pro career References Abbotsford Canucks Ryan Johnson June 26 2017 19962011 Bakersfield Condors Keith Gretzky June 11 2019 19871993 Belleville Senators Ryan Bowness July 30 2022 None Bridgeport Islanders Chris Lamoriello August 26 2016 None Calgary Wranglers Brad Pascall June 6 2014 19921995 Charlotte Checkers Gregory Campbell September 15 2020 20032016 Chicago Wolves Wendell Young August 4 2009 19832001 Cleveland Monsters Chris Clark June 12
28,28,What is Kostelany nad Moravou known for?,Kostelany nad Moravou is a popular tourist destination known for its beautiful hiking trails and picturesque landscapes.,"Kostelany nad Moravou is a historical site, home to ancient ruins and artifacts from the Roman Empire.",Kostelany nad Moravou is a hamlet known for its traditional folklore and local customs.,"Kostelany nad Moravou is the birthplace of a famous Czech composer, who is widely recognized for his contributions to classical music.","Kostelany nad Moravou is a renowned cultural center, hosting annual music festivals and art exhibitions.",C,Kostelany nad Moravou is a municipality and village in Uhersk Hradit District in the Zln Region of the Czech Republic. It has about 900 inhabitants. Kostelany nad Moravou lies approximately southwest of Uhersk Hradit southwest of Zln and southeast of Prague. References CategoryVillages in Uhersk Hradit District CategoryMoravian Slovakia
